127.0.0.1 - - [02/Mar/2022:21:10:23 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/ HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/css/style-starter.css HTTP/1.1" 200 271350
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/banner1.jpg HTTP/1.1" 200 1826765
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/banner2.jpg HTTP/1.1" 200 87827
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/banner3.jpg HTTP/1.1" 200 11891
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/banner4.jpg HTTP/1.1" 200 12232
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/g1.jpg HTTP/1.1" 200 61033
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/g2.jpg HTTP/1.1" 200 74003
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/g3.jpg HTTP/1.1" 200 19161
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/c1.jpg HTTP/1.1" 200 16053
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/c2.jpg HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/images/c3.jpg HTTP/1.1" 200 14648
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/css/owl.video.play.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /E-Agriculture-System/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:10:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:33 +0530] "GET /E-Agriculture-System/ HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:33 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:34 +0530] "GET /images/banner1.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:34 +0530] "GET /images/banner2.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:34 +0530] "GET /images/banner3.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:34 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:33:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:04 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:04 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:04 +0530] "GET /images/banner1.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:04 +0530] "GET /images/banner2.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:04 +0530] "GET /images/banner3.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:06 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:06 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:06 +0530] "GET /images/banner3.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:09 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:10 +0530] "GET /images/banner4.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:10 +0530] "GET /images/banner3.jpg HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:28 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:36 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:34:39 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:39:41 +0530] "GET /E-Agriculture-System/assets/js/bootstrap.min.js.map HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:39:41 +0530] "GET /E-Agriculture-System/assets/css/style-freedom.css.map HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:45:31 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:45:37 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:47:13 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:47:21 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20988
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:47:55 +0530] "GET /E-Agriculture-System/customer-login.jsp HTTP/1.1" 500 2395
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:47:59 +0530] "GET /E-Agriculture-System/admin-account.jsp HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:48:04 +0530] "GET /E-Agriculture-System/customer-login.jsp HTTP/1.1" 500 2395
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:48:07 +0530] "GET /E-Agriculture-System/admin-login.jsp HTTP/1.1" 500 2389
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:51:36 +0530] "GET /E-Agriculture-System/customer-login.jsp HTTP/1.1" 200 10690
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:51:36 +0530] "GET /E-Agriculture-System/assets/images/customer-login.jpg HTTP/1.1" 200 10067
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:51:44 +0530] "GET /E-Agriculture-System/admin-login.jsp HTTP/1.1" 200 10687
0:0:0:0:0:0:0:1 - - [02/Mar/2022:21:51:44 +0530] "GET /E-Agriculture-System/assets/images/admin-login.png HTTP/1.1" 200 3206
