127.0.0.1 - - [10/Mar/2022:08:54:46 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/ HTTP/1.1" 200 20986
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/theme-change.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:48 +0530] "GET /E-Agriculture-System/assets/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:49 +0530] "GET /E-Agriculture-System/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2022:08:54:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
